#bit-address;#reg_name;#channel;#digit;#value
#bit-address;#reg_name;#channel;#digit;#value
231;preamp;20;7;1
230;preamp;20;6;0
229;preamp;20;5;0
228;preamp;20;4;0
227;preamp;20;3;0
226;preamp;20;2;0
225;preamp;20;1;0
224;preamp;20;0;0
#bit-address;#reg_name;#channel;#digit;#value
223;preamp;19;7;1
222;preamp;19;6;0
221;preamp;19;5;0
220;preamp;19;4;0
219;preamp;19;3;0
218;preamp;19;2;0
217;preamp;19;1;0
216;preamp;19;0;0
#bit-address;#reg_name;#channel;#digit;#value
215;preamp;18;7;1
214;preamp;18;6;0
213;preamp;18;5;0
212;preamp;18;4;0
211;preamp;18;3;0
210;preamp;18;2;0
209;preamp;18;1;0
208;preamp;18;0;0
#bit-address;#reg_name;#channel;#digit;#value
207;preamp;17;7;1
206;preamp;17;6;0
205;preamp;17;5;0
204;preamp;17;4;0
203;preamp;17;3;0
202;preamp;17;2;0
201;preamp;17;1;0
200;preamp;17;0;0
#bit-address;#reg_name;#channel;#digit;#value
199;preamp;16;7;1
198;preamp;16;6;0
197;preamp;16;5;0
196;preamp;16;4;0
195;preamp;16;3;0
194;preamp;16;2;0
193;preamp;16;1;0
192;preamp;16;0;0
#bit-address;#reg_name;#channel;#digit;#value
191;preamp;15;7;1
190;preamp;15;6;0
189;preamp;15;5;0
188;preamp;15;4;0
187;preamp;15;3;0
186;preamp;15;2;0
185;preamp;15;1;0
184;preamp;15;0;0
#bit-address;#reg_name;#channel;#digit;#value
183;preamp;14;7;1
182;preamp;14;6;0
181;preamp;14;5;0
180;preamp;14;4;0
179;preamp;14;3;0
178;preamp;14;2;0
177;preamp;14;1;0
176;preamp;14;0;0
#bit-address;#reg_name;#channel;#digit;#value
175;preamp;13;7;1
174;preamp;13;6;0
173;preamp;13;5;0
172;preamp;13;4;0
171;preamp;13;3;0
170;preamp;13;2;0
169;preamp;13;1;0
168;preamp;13;0;0
#bit-address;#reg_name;#channel;#digit;#value
167;preamp;12;7;1
166;preamp;12;6;0
165;preamp;12;5;0
164;preamp;12;4;0
163;preamp;12;3;0
162;preamp;12;2;0
161;preamp;12;1;0
160;preamp;12;0;0
#bit-address;#reg_name;#channel;#digit;#value
159;preamp;11;7;1
158;preamp;11;6;0
157;preamp;11;5;0
156;preamp;11;4;0
155;preamp;11;3;0
154;preamp;11;2;0
153;preamp;11;1;0
152;preamp;11;0;0
#bit-address;#reg_name;#channel;#digit;#value
151;preamp;10;7;1
150;preamp;10;6;0
149;preamp;10;5;0
148;preamp;10;4;0
147;preamp;10;3;0
146;preamp;10;2;0
145;preamp;10;1;0
144;preamp;10;0;0
#bit-address;#reg_name;#channel;#digit;#value
143;preamp;9;7;1
142;preamp;9;6;0
141;preamp;9;5;0
140;preamp;9;4;0
139;preamp;9;3;0
138;preamp;9;2;0
137;preamp;9;1;0
136;preamp;9;0;0
#bit-address;#reg_name;#channel;#digit;#value
135;preamp;8;7;1
134;preamp;8;6;0
133;preamp;8;5;0
132;preamp;8;4;0
131;preamp;8;3;0
130;preamp;8;2;0
129;preamp;8;1;0
128;preamp;8;0;0
#bit-address;#reg_name;#channel;#digit;#value
127;preamp;7;7;1
126;preamp;7;6;0
125;preamp;7;5;0
124;preamp;7;4;0
123;preamp;7;3;0
122;preamp;7;2;0
121;preamp;7;1;0
120;preamp;7;0;0
#bit-address;#reg_name;#channel;#digit;#value
119;preamp;6;7;1
118;preamp;6;6;0
117;preamp;6;5;0
116;preamp;6;4;0
115;preamp;6;3;0
114;preamp;6;2;0
113;preamp;6;1;0
112;preamp;6;0;0
#bit-address;#reg_name;#channel;#digit;#value
111;preamp;5;7;1
110;preamp;5;6;0
109;preamp;5;5;0
108;preamp;5;4;0
107;preamp;5;3;0
106;preamp;5;2;0
105;preamp;5;1;0
104;preamp;5;0;0
#bit-address;#reg_name;#channel;#digit;#value
103;preamp;4;7;1
102;preamp;4;6;0
101;preamp;4;5;0
100;preamp;4;4;0
99;preamp;4;3;0
98;preamp;4;2;0
97;preamp;4;1;0
96;preamp;4;0;0
#bit-address;#reg_name;#channel;#digit;#value
95;preamp;3;7;1
94;preamp;3;6;0
93;preamp;3;5;0
92;preamp;3;4;0
91;preamp;3;3;0
90;preamp;3;2;0
89;preamp;3;1;0
88;preamp;3;0;0
#bit-address;#reg_name;#channel;#digit;#value
87;preamp;2;7;1
86;preamp;2;6;0
85;preamp;2;5;0
84;preamp;2;4;0
83;preamp;2;3;0
82;preamp;2;2;0
81;preamp;2;1;0
80;preamp;2;0;0
#bit-address;#reg_name;#channel;#digit;#value
79;preamp;1;7;1
78;preamp;1;6;0
77;preamp;1;5;0
76;preamp;1;4;0
75;preamp;1;3;0
74;preamp;1;2;0
73;preamp;1;1;0
